# CIDR,network(start) address,end address,prefix,subnet mask
138.199.64.0/20,138.199.64.0,138.199.79.255,20,255.255.240.0
139.191.0.0/16,139.191.0.0,139.191.255.255,16,255.255.0.0
144.44.0.0/16,144.44.0.0,144.44.255.255,16,255.255.0.0
145.218.0.0/16,145.218.0.0,145.218.255.255,16,255.255.0.0
148.185.0.0/16,148.185.0.0,148.185.255.255,16,255.255.0.0
151.175.0.0/16,151.175.0.0,151.175.255.255,16,255.255.0.0
158.67.0.0/16,158.67.0.0,158.67.255.255,16,255.255.0.0
192.84.203.0/24,192.84.203.0,192.84.203.255,24,255.255.255.0
192.108.23.0/24,192.108.23.0,192.108.23.255,24,255.255.255.0
192.108.24.0/22,192.108.24.0,192.108.27.255,22,255.255.252.0
192.108.28.0/23,192.108.28.0,192.108.29.255,23,255.255.254.0
192.108.30.0/24,192.108.30.0,192.108.30.255,24,255.255.255.0
192.108.35.0/24,192.108.35.0,192.108.35.255,24,255.255.255.0
192.108.36.0/22,192.108.36.0,192.108.39.255,22,255.255.252.0
192.108.40.0/22,192.108.40.0,192.108.43.255,22,255.255.252.0
192.108.44.0/24,192.108.44.0,192.108.44.255,24,255.255.255.0
